"";"PROBEID";"ENTREZID";"SYMBOL";"logFC";"AveExpr";"t";"P.Value";"adj.P.Val";"B"
"1";"217284_x_at";"253190";"SERHL2";-4,40537698624171;8,16626236771877;-11,1382310023846;2,10017406113856e-15;6,63865020725899e-12;24,6968575191293
"2";"211682_x_at";"54490";"UGT2B28";-4,58762135222548;7,76029861436867;-9,51670168684557;5,39456064841765e-13;5,6840687365494e-10;19,363406538346
"3";"204942_s_at";"222";"ALDH3B2";-3,84388258297231;8,88150810864211;-8,44030567083616;2,51170882688804e-11;1,02468293339271e-08;15,6522942592924
"4";"214079_at";"10202";"DHRS2";-6,20641962259411;8,28919793796584;-8,0574588751805;1,00797403106622e-10;2,63873822845423e-08;14,307161600387
"5";"205044_at";"2568";"GABRP";4,48345469377188;7,96244378013842;7,79031323460722;2,67259620218632e-10;5,28004787194436e-08;13,3627444454223
"6";"206165_s_at";"9635";"CLCA2";-4,67161176845061;6,9216145558037;-7,22744323396011;2,10696752380624e-09;2,29659460094881e-07;11,3622762188896
"7";"205498_at";"2690";"GHR";-3,31383516865527;7,38159843305723;-7,12824571481785;3,03440712474485e-09;3,19725364043949e-07;11,0088562609208
"8";"206509_at";"5304";"PIP";-5,33019309144609;9,61493602824898;-6,80294062668574;1,00405118842532e-08;9,61759335337098e-07;9,8496310417263
"9";"201525_at";"347";"APOD";-3,99312031792176;9,90870973215211;-6,31221065414361;6,0851585199009e-08;3,69907424642438e-06;8,10521414557511
"10";"214451_at";"7021";"TFAP2B";-4,76014305830174;6,80001036345448;-6,25055943596632;7,62576927913709e-08;4,30447440917006e-06;7,88687159730106
"11";"213680_at";"3854";"KRT6B";3,32454196025979;9,003828772152;6,15053533585194;1,09923662178641e-07;5,69620813355221e-06;7,53318612824457
"12";"209309_at";"563";"AZGP1";-3,87568487905775;9,99996413215784;-6,01630550465085;1,79364870988553e-07;8,33782878227672e-06;7,05979634638186
"13";"214598_at";"9073";"CLDN8";-3,32425609372048;6,88675909826586;-5,96394642882304;2,17029450946944e-07;9,52819575615681e-06;6,87557913663497
"14";"204304_s_at";"8842";"PROM1";3,33226278918148;7,59651154725903;4,85556190893268;1,13202824531829e-05;0,000225052910908875;3,06746551468698
"15";"203824_at";"7103";"TSPAN8";-3,32756830905698;6,28856535661199;-4,22412374003878;9,64457088226722e-05;0,00108373781781825;1,02254979192452
