"title","geo_accession","status","submission_date","last_update_date","type","channel_count","source_name_ch1","organism_ch1","molecule_ch1","taxid_ch1","description","description.1","platform_id","contact_name","contact_email","contact_phone","contact_fax","contact_laboratory","contact_department","contact_institute","contact_address","contact_city","contact_zip/postal_code","contact_country","supplementary_file","supplementary_file.1","data_row_count","relation","relation.1"
"PF01 EpPpT2N0G2","GSM26804","Public on Jun 01 2005","Jul 14 2004","May 31 2013","RNA","1","Biopsy","Homo sapiens","total RNA","9606","EORTC 10994 clinical trial","","GPL96","Richard,,Iggo","r.iggo@bordeaux.unicancer.fr","+33 5 56 33 04 23","+33 5 56 33 32 06","INSERM U916","Bergonie Cancer Institute","University of Bordeaux","229 cours de l'Argonne","Bordeaux","33076","France","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM26nnn/GSM26804/suppl/GSM26804.CEL.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM26nnn/GSM26804/suppl/GSM26804.EXP.gz","22215","Reanalyzed by: GSE47561",""
"PF02 EpPpT4N1G2","GSM26867","Public on Jun 01 2005","Jul 14 2004","May 31 2013","RNA","1","Biopsy","Homo sapiens","total RNA","9606","EORTC 10994","","GPL96","Richard,,Iggo","r.iggo@bordeaux.unicancer.fr","+33 5 56 33 04 23","+33 5 56 33 32 06","INSERM U916","Bergonie Cancer Institute","University of Bordeaux","229 cours de l'Argonne","Bordeaux","33076","France","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM26nnn/GSM26867/suppl/GSM26867.CEL.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM26nnn/GSM26867/suppl/GSM26867.EXP.gz","22215","Reanalyzed by: GSE47561",""
"PF03 EpPpT3N0Gu","GSM26868","Public on Jun 01 2005","Jul 14 2004","May 31 2013","RNA","1","Biopsy","Homo sapiens","total RNA","9606","EORTC 10994","","GPL96","Richard,,Iggo","r.iggo@bordeaux.unicancer.fr","+33 5 56 33 04 23","+33 5 56 33 32 06","INSERM U916","Bergonie Cancer Institute","University of Bordeaux","229 cours de l'Argonne","Bordeaux","33076","France","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM26nnn/GSM26868/suppl/GSM26868.CEL.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM26nnn/GSM26868/suppl/GSM26868.EXP.gz","22215","Reanalyzed by: GSE47561",""
"PF04 EpPpT2N1G1","GSM26869","Public on Jun 01 2005","Jul 14 2004","May 31 2013","RNA","1","Biopsy","Homo sapiens","total RNA","9606","EORTC 10994","","GPL96","Richard,,Iggo","r.iggo@bordeaux.unicancer.fr","+33 5 56 33 04 23","+33 5 56 33 32 06","INSERM U916","Bergonie Cancer Institute","University of Bordeaux","229 cours de l'Argonne","Bordeaux","33076","France","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM26nnn/GSM26869/suppl/GSM26869.CEL.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM26nnn/GSM26869/suppl/GSM26869.EXP.gz","22215","Reanalyzed by: GSE47561",""
"PF05 EpPnT2N1G1","GSM26870","Public on Jun 01 2005","Jul 14 2004","Jun 01 2005","RNA","1","Biopsy","Homo sapiens","total RNA","9606","EORTC 10994","","GPL96","Richard,,Iggo","r.iggo@bordeaux.unicancer.fr","+33 5 56 33 04 23","+33 5 56 33 32 06","INSERM U916","Bergonie Cancer Institute","University of Bordeaux","229 cours de l'Argonne","Bordeaux","33076","France","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM26nnn/GSM26870/suppl/GSM26870.CEL.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM26nnn/GSM26870/suppl/GSM26870.EXP.gz","22215","",""
"PF06 EnPnT2N0G3","GSM26871","Public on Jun 01 2005","Jul 14 2004","May 31 2013","RNA","1","Biopsy","Homo sapiens","total RNA","9606","EORTC 10994","","GPL96","Richard,,Iggo","r.iggo@bordeaux.unicancer.fr","+33 5 56 33 04 23","+33 5 56 33 32 06","INSERM U916","Bergonie Cancer Institute","University of Bordeaux","229 cours de l'Argonne","Bordeaux","33076","France","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM26nnn/GSM26871/suppl/GSM26871.CEL.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM26nnn/GSM26871/suppl/GSM26871.EXP.gz","22215","Reanalyzed by: GSE31519","Reanalyzed by: GSE47561"
"PF07 EpPpT2N0G2","GSM26872","Public on Jun 01 2005","Jul 14 2004","May 31 2013","RNA","1","Biopsy","Homo sapiens","total RNA","9606","EORTC 10994","","GPL96","Richard,,Iggo","r.iggo@bordeaux.unicancer.fr","+33 5 56 33 04 23","+33 5 56 33 32 06","INSERM U916","Bergonie Cancer Institute","University of Bordeaux","229 cours de l'Argonne","Bordeaux","33076","France","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM26nnn/GSM26872/suppl/GSM26872.CEL.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM26nnn/GSM26872/suppl/GSM26872.EXP.gz","22215","Reanalyzed by: GSE47561",""
"PF09 EpPpT3N1G2","GSM26873","Public on Jun 01 2005","Jul 14 2004","May 31 2013","RNA","1","Biopsy","Homo sapiens","total RNA","9606","EORTC 10994","","GPL96","Richard,,Iggo","r.iggo@bordeaux.unicancer.fr","+33 5 56 33 04 23","+33 5 56 33 32 06","INSERM U916","Bergonie Cancer Institute","University of Bordeaux","229 cours de l'Argonne","Bordeaux","33076","France","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM26nnn/GSM26873/suppl/GSM26873.CEL.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM26nnn/GSM26873/suppl/GSM26873.EXP.gz","22215","Reanalyzed by: GSE47561",""
"PF10 EpPpT4N1G2","GSM26874","Public on Jun 01 2005","Jul 14 2004","May 31 2013","RNA","1","Biopsy","Homo sapiens","total RNA","9606","EORTC 10994","","GPL96","Richard,,Iggo","r.iggo@bordeaux.unicancer.fr","+33 5 56 33 04 23","+33 5 56 33 32 06","INSERM U916","Bergonie Cancer Institute","University of Bordeaux","229 cours de l'Argonne","Bordeaux","33076","France","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM26nnn/GSM26874/suppl/GSM26874.CEL.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM26nnn/GSM26874/suppl/GSM26874.EXP.gz","22215","Reanalyzed by: GSE47561",""
"PF11 EpPpT3N1G2","GSM26875","Public on Jun 01 2005","Jul 14 2004","May 31 2013","RNA","1","Biopsy","Homo sapiens","total RNA","9606","EORTC 10994","","GPL96","Richard,,Iggo","r.iggo@bordeaux.unicancer.fr","+33 5 56 33 04 23","+33 5 56 33 32 06","INSERM U916","Bergonie Cancer Institute","University of Bordeaux","229 cours de l'Argonne","Bordeaux","33076","France","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM26nnn/GSM26875/suppl/GSM26875.CEL.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM26nnn/GSM26875/suppl/GSM26875.EXP.gz","22215","Reanalyzed by: GSE47561",""
